,timeStamp,ID,item1,item2,item3,item4,item5,AffiliativeQ_average
0,11/12/2021 16:36:21,8469,3,6.0,2,3,5,3.8
1,11/15/2021 15:06:20,7264,1,1.0,1,2,2,1.4
2,11/17/2021 13:38:04,3572,5,4.0,3,4,4,4.0
3,11/18/2021 12:15:48,365,6,6.0,4,5,5,5.2
4,11/30/2021 11:33:24,6642,5,5.0,3,3,5,4.2
5,12/3/2021 17:28:48,5741,2,5.0,3,2,2,2.8
6,12/10/2021 12:32:44,7842,5,5.0,2,2,3,3.4
7,12/15/2021 11:16:55,4176,2,5.0,3,5,2,3.4
8,12/22/2021 16:53:24,9472,5,5.0,4,4,5,4.6
9,1/18/2022 12:54:26,4623,2,2.0,2,3,2,2.2
10,1/19/2022 11:33:27,9502,5,3.0,1,1,2,2.4
11,1/20/2022 16:58:51,7093,3,6.0,3,3,3,3.6
12,2/28/2022 10:35:05,2258,5,7.0,4,2,7,5.0
13,3/16/2022 14:21:12,1754,2,1.0,2,3,4,2.4
14,3/21/2022 12:42:12,5238,6,6.0,6,4,3,5.0
15,3/23/2022 15:42:37,8695,5,7.0,5,4,3,4.8
16,4/20/2022 20:46:47,3976,2,4.0,2,2,2,2.4
17,4/21/2022 12:37:20,5531,5,6.0,5,6,6,5.6
