Timestamp,ID,1. I prefer to work in group instead of by myself ​,2. I spend a lot of time talking to others ,3. I like to study with groups rather than by myself​,4. I try to work alone ​,5. I prefer to work on my own and let others do theirs
11/17/2022 17:33:08,9627,4,3,1,5,5
11/21/2022 15:27:48,4598,4,5,4,5,5
11/22/2022 15:49:44,1031,3,7,2,5,6
11/24/2022 11:50:55,8629,6,6,7,4,2
11/25/2022 9:47:14,4847,3,5,2,4,4
12/2/2022 14:15:21,5766,2,4,2,5,5
12/8/2022 11:52:16,9297,4,7,3,5,5
12/12/2022 11:03:42,7081,4,7,3,6,5
12/12/2022 15:38:23,5189,5,4,6,3,3
12/14/2022 10:31:31,5743,6,6,5,2,3
12/14/2022 13:16:50,6406,4,5,5,5,4
1/25/2023 12:24:00,5972,6,5,2,3,2
1/26/2023 11:37:41,7935,2,3,2,7,7
1/30/2023 12:41:41,2069,3,7,4,7,4
2/2/2023 13:15:34,4508,6,6,5,5,4
2/23/2023 11:07:47,7393,1,3,1,7,7
2/28/2023 12:25:48,5161,4,5,2,6,6
3/10/2023 11:38:53,5851,4,2,5,6,3
3/30/2023 14:19:35,1843,2,5,1,6,6
4/18/2023 11:07:16,3540,4,6,5,4,2
4/26/2023 12:34:55,1268,2,6,5,7,5
4/28/2023 10:39:14,1574,3,6,3,5,2
